_id,naziv,voditelj,vozaci,bolid,motor,osv_WCC,godina_pocetka,zemlja,br_utrka,br_pobjeda,poveznica
ObjectId(5f9786ed928087bf0c8f3f4c),Scuderia Ferrari,Mattia Binotto,"[{""ime"":""Charles"",""prezime"":""Leclerc"",""broj_bolida"":16.0,""br_utrka"":54.0,""br_pobjeda"":2.0,""osv_WDC"":0.0},{""ime"":""Sebastian"",""prezime"":""Vettel"",""broj_bolida"":5.0,""br_utrka"":253.0,""br_pobjeda"":53.0,""osv_WDC"":4.0}]",SF1000,Ferrari,16,1950,Italija,1005,238,https://en.wikipedia.org/wiki/Scuderia_Ferrari
ObjectId(5f9786ed928087bf0c8f3f4d),Mercedes-AMG Petronas,Toto Wolff,"[{""ime"":""Lewis"",""prezime"":""Hamilton"",""broj_bolida"":44.0,""br_utrka"":222.0,""br_pobjeda"":92.0,""osv_WDC"":6.0},{""ime"":""Valtteri"",""prezime"":""Bottas"",""broj_bolida"":77.0,""br_utrka"":152.0,""br_pobjeda"":9.0,""osv_WDC"":0.0}]",Mercedes-AMG F1 W11 EQ Performance,Mercedes,6,2010,Njemacka,222,112,https://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One
ObjectId(5f9786ed928087bf0c8f3f4e),McLaren,Andreas Seidl,"[{""ime"":""Lando"",""prezime"":""Norris"",""broj_bolida"":4.0,""br_utrka"":33.0,""br_pobjeda"":0.0,""osv_WDC"":0.0},{""ime"":""Carlos"",""prezime"":""Sainz"",""broj_bolida"":55.0,""br_utrka"":114.0,""br_pobjeda"":0.0,""osv_WDC"":0.0}]",MCL35,Renault,8,1966,Velika Britanija,879,182,https://en.wikipedia.org/wiki/McLaren
ObjectId(5f9786ed928087bf0c8f3f4f),Aston Martin Red Bull Racing,Christian Horner,"[{""ime"":""Max"",""prezime"":""Verstappen"",""broj_bolida"":33.0,""br_utrka"":114.0,""br_pobjeda"":9.0,""osv_WDC"":0.0},{""ime"":""Alex"",""prezime"":""Albon"",""broj_bolida"":23.0,""br_utrka"":33.0,""br_pobjeda"":0.0,""osv_WDC"":0.0}]",RB16,Honda,4,2005,Austrija,299,63,https://en.wikipedia.org/wiki/Red_Bull_Racing
ObjectId(5f9786ed928087bf0c8f3f50),Williams Racing,Simon Roberts,"[{""ime"":""George"",""prezime"":""Russell"",""broj_bolida"":63.0,""br_utrka"":33.0,""br_pobjeda"":0.0,""osv_WDC"":0.0},{""ime"":""Nicholas"",""prezime"":""Latifi"",""broj_bolida"":6.0,""br_utrka"":12.0,""br_pobjeda"":0.0,""osv_WDC"":0.0}]",FW43,Mercedes,9,1977,Velika Britanija,743,114,https://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering
ObjectId(5f9786ed928087bf0c8f3f51),Racing Point,Otmar Szafnauer,"[{""ime"":""Sergio"",""prezime"":""Perez"",""broj_bolida"":11.0,""br_utrka"":190.0,""br_pobjeda"":0.0,""osv_WDC"":0.0},{""ime"":""Lance"",""prezime"":""Stroll"",""broj_bolida"":18.0,""br_utrka"":74.0,""br_pobjeda"":0.0,""osv_WDC"":0.0},{""ime"":""Nico"",""prezime"":""Hulkenberg"",""broj_bolida"":27.0,""br_utrka"":182.0,""br_pobjeda"":0.0,""osv_WDC"":0.0}]",RP20,Mercedes,0,2019,Velika Britanija,33,0,https://en.wikipedia.org/wiki/Racing_Point_F1_Team
ObjectId(5f9786ed928087bf0c8f3f52),Haas,Guenther Steiner,"[{""ime"":""Romain"",""prezime"":""Grosjean"",""broj_bolida"":8.0,""br_utrka"":178.0,""br_pobjeda"":9.0,""osv_WDC"":0.0},{""ime"":""Kevin"",""prezime"":""Magnussen"",""broj_bolida"":20.0,""br_utrka"":115.0,""br_pobjeda"":0.0,""osv_WDC"":0.0}]",VF-20,Ferrari,0,2016,Sjedinjene Americke Drzave,95,0,https://en.wikipedia.org/wiki/Haas_F1_Team
ObjectId(5f9786ed928087bf0c8f3f53),Alfa Romeo Racing Orlen,Frederic Vasseur,"[{""ime"":""Kimi"",""prezime"":""Raikkonen"",""broj_bolida"":7.0,""br_utrka"":327.0,""br_pobjeda"":21.0,""osv_WDC"":1.0},{""ime"":""Antonio"",""prezime"":""Giovinazzi"",""broj_bolida"":99.0,""br_utrka"":35.0,""br_pobjeda"":0.0,""osv_WDC"":0.0}]",C39,Ferrari,0,1950,Italija,226,12,https://en.wikipedia.org/wiki/Alfa_Romeo_in_Formula_One
ObjectId(5f9786ed928087bf0c8f3f54),Scuderia AlphaTauri,Franz Tost,"[{""ime"":""Pierre"",""prezime"":""Gasly"",""broj_bolida"":10.0,""br_utrka"":59.0,""br_pobjeda"":1.0,""osv_WDC"":0.0},{""ime"":""Daniil"",""prezime"":""Kvyat"",""broj_bolida"":26.0,""br_utrka"":107.0,""br_pobjeda"":0.0,""osv_WDC"":0.0}]",AT01,Honda,0,2020,Italija,12,1,https://en.wikipedia.org/wiki/Scuderia_AlphaTauri
ObjectId(5f9786ed928087bf0c8f3f55),Renault,Franz Tost,"[{""ime"":""Daniel"",""prezime"":""Ricciardo"",""broj_bolida"":3.0,""br_utrka"":183.0,""br_pobjeda"":7.0,""osv_WDC"":0.0},{""ime"":""Esteban"",""prezime"":""Ocon"",""broj_bolida"":31.0,""br_utrka"":62.0,""br_pobjeda"":0.0,""osv_WDC"":0.0}]",R.S.20,Renault,2,1977,Francuska,398,35,https://en.wikipedia.org/wiki/Renault_in_Formula_One
